game_id,season,week,home_team,away_team,home_spread_close,predicted_home_cover_prob,predicted_side,actual_home_covered,correct,ol_mismatch_flag,fold
2026_02_CAR_ATL,2026,2,ATL,CAR,-1.5,0.38551253,away,,,0,0
2026_02_CIN_HOU,2026,2,HOU,CIN,3.0,0.40553623,away,,,0,0
2026_02_CLE_TB,2026,2,TB,CLE,8.5,0.5221519,home,,,0,0
2026_02_DET_BUF,2026,2,BUF,DET,4.5,0.49240467,away,,,0,0
2026_02_GB_NYJ,2026,2,NYJ,GB,-4.5,0.47434118,away,,,0,0
2026_02_IND_KC,2026,2,KC,IND,6.5,0.5538536,home,,,0,0
2026_02_JAX_DEN,2026,2,DEN,JAX,2.5,0.61491644,home,,,0,0
2026_02_LV_LAC,2026,2,LAC,LV,7.0,0.5889085,home,,,0,0
2026_02_MIA_SF,2026,2,SF,MIA,13.5,0.5912717,home,,,0,0
2026_02_MIN_CHI,2026,2,CHI,MIN,5.5,0.7656906,home,,,0,0
2026_02_NO_BAL,2026,2,BAL,NO,8.5,0.49519435,away,,,0,0
2026_02_NYG_LA,2026,2,LA,NYG,7.0,0.58711946,home,,,0,0
2026_02_PHI_TEN,2026,2,TEN,PHI,-7.0,0.5191409,home,,,0,0
2026_02_PIT_NE,2026,2,NE,PIT,5.5,0.5245989,home,,,0,0
2026_02_SEA_ARI,2026,2,ARI,SEA,-4.5,0.6413052,home,,,0,0
2026_02_WAS_DAL,2026,2,DAL,WAS,3.5,0.578824,home,,,0,0
