game_id,cluster,dominant_families
2026_01_ATL_PIT,1,"['QB', 'OL pass protection']"
2026_01_BAL_IND,1,"['QB', 'OL pass protection']"
2026_01_BUF_HOU,1,"['QB', 'OL pass protection']"
2026_01_DAL_NYG,1,"['QB', 'OL pass protection']"
2026_01_NE_SEA,1,"['QB', 'OL pass protection']"
2026_01_SF_LA,1,"['QB', 'OL pass protection']"
2026_01_TB_CIN,1,"['QB', 'OL pass protection']"
2026_01_NYJ_TEN,2,"['defence pass rush', 'defence run']"
2026_01_ARI_LAC,3,"['OL pass protection', 'OL run blocking']"
2026_01_CHI_CAR,3,"['OL pass protection', 'OL run blocking']"
2026_01_CLE_JAX,3,"['OL pass protection', 'OL run blocking']"
2026_01_DEN_KC,3,"['OL pass protection', 'OL run blocking']"
2026_01_NO_DET,4,"['coverage/defence other', 'form']"
2026_01_WAS_PHI,4,"['coverage/defence other', 'form']"
2026_01_MIA_LV,5,"['form', 'defence pass rush']"
2026_01_GB_MIN,6,"['QB', 'defence pass rush']"
