family,mean_abs_contribution_16,pushed_toward_pick_frac_16,n_games_16,pushed_toward_pick_frac_13,n_games_13
OL pass protection,0.17183699189627077,0.5625,16,0.5625,16
defence pass rush,0.1343559072847711,0.5,16,0.5,16
QB,0.1325025263504358,0.625,16,0.625,16
coverage/defence other,0.11086375642480562,0.6875,16,0.6875,16
form,0.09809028792369645,0.5625,16,0.5625,16
defence run,0.07169666557820165,0.5,16,0.5,16
record/margin,0.06142200848989887,0.5625,16,0.5625,16
OL run blocking,0.046158899742295034,0.75,16,0.75,16
run game,0.030037538381293416,0.75,16,0.75,16
weather,0.02700292224471923,0.375,16,0.375,16
rest,0.009812857195356628,0.625,16,0.625,16
venue/context,0.0060955382796237245,0.5625,16,0.5625,16
